REPORT,PLATFORM,OWNER,IMAGE_LINK,HTML_LINK,CSV_LINK,DATE_EXTRACT
Views,LinkedIn,naas.ai,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/ad0d44ff24787e0cde37a068d7bab3af409e9ae18fe4eb42813ed668359c.png,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/0ae6d36e5ca460f5b1969632def84cec3e01c7b6c64602e49f82ccb88595,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/531ca8f8452ec6657324bda14bac8f1f5bf5f8f3d85c40aa284e81c9d07a,2022-07-18 09:07:50
Likes,LinkedIn,naas.ai,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/573ddb30104b06582f2e86d074490249aa0d008ea65b817dea84d55d7bbf.png,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/b2a877748c0ad8606f625acbd53280d67b65c9a5d613f7bbdd88fcc56a70,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/b10d084238e745c7470ea589c64b28ce0b502200827b73c5d4bcae472daa,2022-07-18 09:07:50
Comments,LinkedIn,naas.ai,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/1511d7359e0039973790ce06b10ede89ebf26b88de1fbee946d57fb40e06.png,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/c355c27e3b4bc1499e912b551c4a75326d483eb4a37eaebca67bc9c374a0,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/0251ce6c3c6ac4876deb8f991721c42e463719c88b931db57e7b9d8168a6,2022-07-18 09:07:50
Engagements,LinkedIn,naas.ai,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/403f9e8746d241ffc2fccdcfee07f8d5c3b89b16d3dcc4099800a76e9cc5.png,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/2a420c4ce4402380eb767f094df09be7798faf196eb876b5dda3a3be58ae,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/83c30004baa2c6e4994d91463d7a564e5aa2dd130984796f0b0a34df39d9,2022-07-18 09:07:50
Engagement rate,LinkedIn,naas.ai,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/6c94f950b432304287addc083c49c665e037bb04f03ae691e06d4fe18ebe.png,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/96158ffbb64f085b43b65bf3a1068cdacd71dbd22f06d52c47bef6cb85b4,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/b70a8044254f85cc1e3469474c76c4576322f581778a413d109abe8a8217,2022-07-18 09:07:50
Frequency,LinkedIn,naas.ai,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/e01e2c89108afb27dcc4ed00a7c454392d84bb610ff4a064355f68057766.png,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/566df4b204802e028a22d6551e9faf0b06023109882441be5dfb1ef0ed3c,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/68793db02c61e12c64ccb40f2d0c0ce70b81a2f240a9a6aeee76b7ebeb16,2022-07-18 09:07:50
Views reach,LinkedIn,naas.ai,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/2589d283ffebcfa1fb143aae53e8b0bc9010c82a74d013505916f4583570.png,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/a38dd52eed7ce91df51c6d74373a5b7258c72fa9f870e606fab9ab7698a0,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/84acf6920f77242ac944ebb2c0598164f62b3ae926838025e51360b94f27,2022-07-18 09:07:50
World cloud,LinkedIn,naas.ai,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/4b2437c2c0eacb6bcaf8aa6ffc763a155e800269c01dd915f530417d6ff9.png,,,2022-07-18 09:07:50
Comments,YouTube,naas.ai,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/9f9d9ee5040d307504bcd22de19076f4728590ce31fef85ed73cf63f30b6.png,,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/aea67acdea4096c71ac2528845efa6a2c3be714ce9f174bb520071ed6189,2022-07-18 09:07:50
Likes,YouTube,naas.ai,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/f9f104b6ff3357ddced9a22ab0ae582ee80a4c4e137cb3f5872b23a275b9.png,,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/1721d061d80a64c57ad45be90294d28df778e620fec61a384743159de139,2022-07-18 09:07:50
Views,YouTube,naas.ai,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/af9329b6af84fa320ce9a0e4597023ba1fbaf08544dc768c8e936d7ab13a.png,,https://public.naas.ai/ZmxvcmVudC00MG5hYXMtMkVhaQ==/asset/8d41132f3c356d9eea37afc1c4d072b5713f58e29114d47e89eb4dd60da1,2022-07-18 09:07:50
